Student_ID,Age,Major,Primary_AI_Tool,Task_Frequency_Daily,Main_Usage_Case,GPA_Baseline,GPA_Post_AI,Time_Saved_Hours_Weekly,AI_Ethics_Concern,Career_Confidence_Score
STU-3233,20,Software Engineering,GitHub Copilot,5,Brainstorming,3.46,3.56,4,High,2
STU-3990,23,Business Administration,Perplexity,8,Essay Drafting,2.58,2.68,7,Medium,1
STU-7742,19,Business Administration,Perplexity,8,Brainstorming,2.61,2.81,14,Medium,6
STU-2117,19,Software Engineering,ChatGPT-4o,7,Essay Drafting,3.72,4,10,Medium,5
STU-9679,18,Software Engineering,Claude 3.5,6,Brainstorming,3.71,3.81,11,Medium,9
STU-7160,23,Business Administration,GitHub Copilot,3,Literature Review,3.02,3.32,14,Medium,7
STU-5739,21,Biology,Claude 3.5,8,Exam Prep,3.29,3.49,3,Low,10
STU-6716,23,Software Engineering,Perplexity,10,Brainstorming,2.57,2.87,14,Low,1
STU-5252,18,Biology,GitHub Copilot,7,Essay Drafting,3.96,4,4,Medium,4
STU-7616,25,Modern History,ChatGPT-4o,2,Literature Review,3.87,3.77,5,Medium,8
STU-1565,20,Fine Arts,Perplexity,2,Essay Drafting,3.69,3.89,5,Medium,4
STU-1598,25,Fine Arts,GitHub Copilot,7,Code Debugging,2.83,3.03,4,Medium,10
STU-5353,23,Business Administration,Perplexity,2,Brainstorming,2.6,2.5,6,High,1
STU-9803,22,Software Engineering,Gemini Pro,9,Literature Review,3.23,3.53,3,High,6
STU-9313,23,Modern History,GitHub Copilot,8,Code Debugging,3.4,3.3,10,High,8
STU-2210,25,Fine Arts,Perplexity,9,Essay Drafting,3.98,3.98,11,High,6
STU-4882,21,Biology,Gemini Pro,6,Essay Drafting,2.51,2.41,7,High,3
STU-0544,20,Business Administration,GitHub Copilot,4,Exam Prep,3.25,3.55,5,Low,10
STU-8404,23,Data Science,Gemini Pro,1,Essay Drafting,2.78,2.78,5,Low,1
STU-1873,21,Modern History,ChatGPT-4o,8,Essay Drafting,3.8,4,11,High,1
STU-1243,18,Modern History,ChatGPT-4o,8,Brainstorming,3.05,3.05,10,High,2
STU-0879,25,Software Engineering,ChatGPT-4o,9,Code Debugging,3.77,3.87,2,Medium,9
STU-3938,19,Data Science,ChatGPT-4o,3,Exam Prep,2.51,2.81,15,Medium,3
STU-5326,20,Business Administration,GitHub Copilot,4,Brainstorming,3.44,3.44,8,High,4
STU-5901,18,Data Science,Gemini Pro,7,Exam Prep,3.8,3.7,4,High,7
STU-9821,22,Data Science,ChatGPT-4o,9,Brainstorming,2.81,3.01,2,Medium,4
STU-8324,20,Fine Arts,Claude 3.5,1,Literature Review,2.63,2.53,7,Low,8
STU-3544,18,Fine Arts,GitHub Copilot,1,Brainstorming,3.74,3.64,7,Medium,6
STU-6255,22,Software Engineering,Perplexity,9,Literature Review,3.22,3.22,13,High,4
STU-5060,23,Software Engineering,ChatGPT-4o,7,Literature Review,3.26,3.36,4,Medium,9
STU-2988,23,Business Administration,Claude 3.5,6,Literature Review,3.05,3.25,12,Medium,4
STU-9765,20,Data Science,Claude 3.5,10,Code Debugging,3.17,3.37,10,Medium,7
STU-1479,22,Fine Arts,ChatGPT-4o,2,Essay Drafting,3.57,3.47,6,Low,8
STU-2673,24,Business Administration,ChatGPT-4o,8,Exam Prep,2.65,2.55,13,High,8
STU-3026,22,Data Science,Gemini Pro,10,Literature Review,2.99,3.09,11,Low,3
STU-9626,23,Fine Arts,Gemini Pro,10,Code Debugging,3.77,3.87,5,Medium,4
STU-3298,22,Business Administration,Perplexity,5,Literature Review,3.32,3.42,3,High,7
STU-8397,24,Fine Arts,GitHub Copilot,9,Brainstorming,3.02,3.32,12,Low,9
STU-3668,22,Fine Arts,Perplexity,3,Essay Drafting,3.08,3.18,14,Medium,5
STU-0144,22,Business Administration,GitHub Copilot,4,Literature Review,2.68,2.88,13,High,5
STU-4333,25,Modern History,ChatGPT-4o,6,Literature Review,3.01,3.21,10,Low,4
STU-3798,23,Fine Arts,Gemini Pro,2,Brainstorming,3.05,2.95,14,High,1
STU-3349,20,Modern History,Gemini Pro,9,Essay Drafting,3.33,3.63,8,High,10
STU-8520,19,Modern History,Claude 3.5,3,Exam Prep,3.28,3.28,6,Medium,1
STU-8695,22,Biology,GitHub Copilot,1,Literature Review,2.57,2.87,15,Low,3
STU-9987,25,Biology,Perplexity,3,Brainstorming,3.69,3.99,4,Medium,10
STU-3791,20,Biology,Perplexity,6,Brainstorming,3.58,3.68,11,Medium,5
STU-2501,25,Modern History,GitHub Copilot,6,Code Debugging,3.15,3.35,4,Low,4
STU-9806,19,Fine Arts,GitHub Copilot,9,Code Debugging,3.05,3.15,12,Low,4
STU-9033,24,Modern History,Gemini Pro,1,Literature Review,2.84,3.14,4,Medium,1
STU-0447,22,Biology,ChatGPT-4o,1,Literature Review,2.96,3.26,11,Low,5
STU-9268,25,Fine Arts,Gemini Pro,6,Exam Prep,2.56,2.86,7,Medium,1
STU-3866,21,Biology,GitHub Copilot,9,Exam Prep,3.31,3.41,15,Medium,4
STU-0850,18,Software Engineering,ChatGPT-4o,8,Exam Prep,3.44,3.74,9,Low,1
STU-4661,18,Data Science,ChatGPT-4o,9,Essay Drafting,3.56,3.56,15,Medium,10
STU-0973,20,Business Administration,Claude 3.5,8,Code Debugging,3.64,3.84,11,High,7
STU-2593,18,Biology,Gemini Pro,5,Brainstorming,2.61,2.61,9,Medium,8
STU-1113,21,Business Administration,ChatGPT-4o,5,Essay Drafting,3.25,3.35,9,Low,2
STU-1460,24,Fine Arts,Gemini Pro,1,Code Debugging,3.86,4,5,High,8
STU-1037,18,Software Engineering,GitHub Copilot,8,Brainstorming,2.59,2.59,13,Low,7
STU-3812,25,Data Science,GitHub Copilot,9,Essay Drafting,2.74,2.84,15,Low,8
STU-8487,20,Fine Arts,Claude 3.5,7,Essay Drafting,3.7,3.8,9,High,9
STU-9428,25,Business Administration,Claude 3.5,3,Exam Prep,3.42,3.72,10,Medium,8
STU-9512,18,Biology,Gemini Pro,1,Code Debugging,3.25,3.55,14,Low,3
STU-3305,19,Biology,Gemini Pro,7,Exam Prep,3.42,3.52,12,Low,4
STU-3465,18,Data Science,Claude 3.5,2,Literature Review,2.63,2.73,12,Medium,10
STU-9388,22,Software Engineering,Gemini Pro,3,Literature Review,3.37,3.67,6,High,1
STU-8513,25,Business Administration,ChatGPT-4o,1,Code Debugging,3.16,3.16,3,Low,10
STU-6301,18,Data Science,Perplexity,4,Code Debugging,3.87,3.97,10,Medium,6
STU-8512,19,Business Administration,GitHub Copilot,7,Exam Prep,2.99,3.19,14,Low,4
STU-1217,22,Modern History,GitHub Copilot,10,Exam Prep,3.36,3.26,15,Medium,10
STU-3452,20,Fine Arts,Gemini Pro,3,Exam Prep,3.61,3.61,13,Medium,1
STU-2814,21,Software Engineering,Perplexity,2,Essay Drafting,3.57,3.47,5,Low,10
STU-2118,21,Fine Arts,Perplexity,10,Essay Drafting,3.13,3.33,13,Medium,2
STU-6097,23,Software Engineering,Claude 3.5,2,Exam Prep,3.31,3.51,6,Low,10
STU-6276,22,Data Science,ChatGPT-4o,10,Exam Prep,3.96,4,14,Medium,4
STU-2765,21,Business Administration,Claude 3.5,5,Essay Drafting,3.4,3.6,7,Low,8
STU-7920,24,Software Engineering,GitHub Copilot,7,Essay Drafting,3.35,3.65,7,Low,10
STU-2642,18,Modern History,Perplexity,5,Literature Review,2.9,3,12,Low,5
STU-1782,18,Fine Arts,ChatGPT-4o,3,Literature Review,2.93,2.93,3,High,7
STU-6957,21,Biology,GitHub Copilot,1,Essay Drafting,2.78,2.78,8,Medium,2
STU-1505,19,Fine Arts,Perplexity,10,Code Debugging,3.09,3.39,4,High,6
STU-4444,18,Data Science,ChatGPT-4o,3,Essay Drafting,2.88,3.08,3,Low,7
STU-8335,19,Software Engineering,Claude 3.5,6,Literature Review,2.61,2.61,5,Low,3
STU-8381,23,Business Administration,Gemini Pro,6,Essay Drafting,3.58,3.58,8,High,2
STU-9940,20,Modern History,Claude 3.5,6,Literature Review,3.9,4,5,High,9
STU-4254,19,Business Administration,Claude 3.5,9,Brainstorming,3.46,3.66,9,Low,8
STU-9651,23,Fine Arts,Claude 3.5,6,Brainstorming,3.97,4,14,Medium,8
STU-0349,21,Data Science,GitHub Copilot,1,Brainstorming,3.48,3.78,14,High,3
STU-7119,25,Biology,Perplexity,7,Literature Review,2.78,2.88,4,Low,6
STU-5276,19,Data Science,GitHub Copilot,7,Exam Prep,3.65,3.85,6,Medium,3
STU-0889,22,Business Administration,Claude 3.5,9,Brainstorming,3.28,3.48,13,High,7
STU-3718,19,Modern History,GitHub Copilot,10,Brainstorming,2.87,2.77,15,High,2
STU-4602,19,Modern History,Gemini Pro,9,Literature Review,3.08,3.28,2,High,10
STU-2899,18,Business Administration,Gemini Pro,7,Essay Drafting,3.73,3.83,13,Medium,10
STU-6602,24,Software Engineering,Claude 3.5,7,Code Debugging,3.59,3.59,15,High,3
STU-4756,20,Software Engineering,Gemini Pro,8,Exam Prep,2.64,2.54,5,High,5
STU-8471,25,Modern History,ChatGPT-4o,4,Exam Prep,2.81,3.11,12,Low,7
STU-9974,24,Data Science,ChatGPT-4o,8,Essay Drafting,3,3.2,10,Low,8
STU-7383,25,Modern History,ChatGPT-4o,5,Code Debugging,3.21,3.31,3,Medium,8
STU-2963,25,Business Administration,Gemini Pro,10,Literature Review,3.14,3.04,14,Medium,7
STU-0531,19,Business Administration,GitHub Copilot,6,Essay Drafting,3.5,3.4,8,Low,10
STU-0906,18,Business Administration,Claude 3.5,1,Brainstorming,3.29,3.39,15,Low,10
STU-4454,22,Biology,Gemini Pro,7,Exam Prep,3.08,3.18,8,High,8
STU-6503,20,Data Science,GitHub Copilot,5,Code Debugging,3.52,3.72,7,High,7
STU-8854,19,Modern History,Gemini Pro,8,Exam Prep,3.2,3.3,14,High,9
STU-0994,24,Modern History,ChatGPT-4o,8,Exam Prep,2.57,2.57,12,High,6
STU-2245,24,Data Science,Claude 3.5,8,Literature Review,2.99,3.19,3,Low,2
STU-7251,24,Software Engineering,ChatGPT-4o,9,Literature Review,3.16,3.46,2,Low,2
STU-2304,22,Data Science,Claude 3.5,8,Literature Review,2.81,3.01,3,High,8
STU-7040,25,Software Engineering,Perplexity,2,Code Debugging,3.36,3.36,4,High,9
STU-7019,22,Business Administration,GitHub Copilot,8,Essay Drafting,3,3.1,9,Medium,5
STU-3659,22,Data Science,Claude 3.5,2,Brainstorming,2.77,2.67,15,Low,4
STU-9805,22,Biology,ChatGPT-4o,3,Brainstorming,3.46,3.66,3,Medium,3
STU-3021,19,Business Administration,Gemini Pro,1,Brainstorming,2.7,2.9,10,High,4
STU-1894,20,Data Science,Gemini Pro,3,Brainstorming,3.58,3.48,9,Medium,2
STU-9495,22,Fine Arts,Perplexity,7,Code Debugging,3.08,3.28,14,High,10
STU-2635,19,Software Engineering,Claude 3.5,8,Brainstorming,3.38,3.58,15,Medium,10
STU-1997,22,Data Science,Gemini Pro,7,Exam Prep,3.13,3.23,11,Low,8
STU-4744,18,Software Engineering,ChatGPT-4o,2,Literature Review,3.14,3.44,14,Medium,2
STU-1003,19,Modern History,Gemini Pro,4,Brainstorming,3.54,3.44,15,Low,2
STU-8026,19,Software Engineering,ChatGPT-4o,3,Literature Review,2.62,2.92,7,High,10
STU-7516,20,Fine Arts,Gemini Pro,3,Literature Review,3.46,3.76,5,Low,9
STU-1806,18,Fine Arts,GitHub Copilot,10,Literature Review,3.5,3.7,15,Medium,6
STU-9663,22,Software Engineering,GitHub Copilot,9,Literature Review,3.79,4,3,Low,7
STU-3547,21,Business Administration,GitHub Copilot,6,Literature Review,2.6,2.6,4,Medium,10
STU-9124,18,Modern History,ChatGPT-4o,2,Exam Prep,3.19,3.49,12,Medium,6
STU-5597,25,Data Science,Claude 3.5,3,Exam Prep,2.5,2.7,13,Medium,7
STU-4258,19,Business Administration,GitHub Copilot,5,Brainstorming,3.05,2.95,3,High,5
STU-9321,22,Software Engineering,Perplexity,3,Code Debugging,3.09,3.39,13,Medium,8
STU-1245,20,Business Administration,ChatGPT-4o,6,Exam Prep,2.83,3.13,6,Medium,10
STU-6105,21,Biology,ChatGPT-4o,3,Literature Review,3.99,4,2,Medium,10
STU-6489,20,Software Engineering,Claude 3.5,9,Exam Prep,3.33,3.53,11,Medium,8
STU-6639,21,Software Engineering,Perplexity,8,Code Debugging,3.62,3.92,10,Medium,2
STU-8123,22,Fine Arts,Claude 3.5,1,Code Debugging,3.26,3.26,9,Medium,6
STU-9292,21,Fine Arts,Perplexity,1,Literature Review,3.77,3.87,4,Low,4
STU-5248,19,Modern History,ChatGPT-4o,3,Essay Drafting,2.82,2.92,9,Low,9
STU-6089,18,Data Science,Gemini Pro,9,Exam Prep,2.75,2.75,4,High,7
STU-1791,21,Business Administration,Perplexity,2,Brainstorming,2.7,2.7,15,High,4
STU-7478,21,Data Science,Gemini Pro,6,Exam Prep,3.59,3.79,7,Low,1
STU-5307,25,Biology,Gemini Pro,5,Brainstorming,3.97,4,10,High,10
STU-7024,20,Modern History,Claude 3.5,6,Literature Review,2.8,2.8,9,High,2
STU-2558,25,Software Engineering,Claude 3.5,3,Literature Review,3.15,3.05,6,Low,2
STU-2311,20,Fine Arts,Perplexity,7,Literature Review,3.21,3.41,10,Low,7
STU-7153,24,Business Administration,Perplexity,4,Code Debugging,2.98,2.98,3,Low,9
STU-2445,25,Business Administration,Gemini Pro,6,Essay Drafting,2.82,2.92,15,Low,9
STU-0065,22,Software Engineering,Claude 3.5,9,Essay Drafting,2.96,3.06,3,High,6
STU-2229,22,Software Engineering,Perplexity,2,Literature Review,3.06,3.26,6,Low,5
STU-6704,18,Data Science,Perplexity,10,Code Debugging,3.46,3.46,8,High,4
STU-8608,24,Business Administration,Gemini Pro,2,Brainstorming,3.92,4,9,Medium,6
STU-8309,25,Data Science,GitHub Copilot,4,Essay Drafting,3.3,3.5,7,Low,9
STU-3252,23,Fine Arts,GitHub Copilot,6,Literature Review,3.89,4,2,High,3
STU-9166,21,Fine Arts,GitHub Copilot,7,Brainstorming,3.19,3.29,3,High,7
STU-9368,21,Data Science,ChatGPT-4o,3,Code Debugging,2.93,3.23,9,Medium,8
STU-7393,21,Modern History,GitHub Copilot,9,Literature Review,2.66,2.86,2,Low,8
STU-7442,21,Biology,ChatGPT-4o,6,Brainstorming,3.08,2.98,12,Low,4
STU-1182,18,Biology,Claude 3.5,10,Essay Drafting,2.58,2.88,15,High,4
STU-3247,25,Business Administration,Claude 3.5,9,Code Debugging,2.87,3.07,11,Low,5
STU-3416,23,Biology,Claude 3.5,6,Literature Review,3.87,4,12,Low,8
STU-0288,25,Fine Arts,ChatGPT-4o,6,Brainstorming,2.67,2.97,7,Medium,1
STU-5935,23,Data Science,GitHub Copilot,6,Essay Drafting,3.07,3.17,14,High,6
STU-0287,21,Modern History,Gemini Pro,2,Brainstorming,3.25,3.25,12,Low,3
STU-6342,20,Software Engineering,Perplexity,5,Literature Review,3.7,3.6,6,High,1
STU-5780,19,Modern History,Perplexity,3,Brainstorming,3.67,3.97,5,High,2
STU-6195,22,Software Engineering,Perplexity,10,Exam Prep,4,4,12,High,5
STU-1324,19,Software Engineering,GitHub Copilot,10,Code Debugging,3.5,3.8,6,Medium,1
STU-7053,20,Biology,Claude 3.5,2,Essay Drafting,3.16,3.16,7,Low,3
STU-0435,19,Software Engineering,Perplexity,10,Literature Review,2.84,2.94,6,High,10
STU-6469,23,Fine Arts,Gemini Pro,1,Code Debugging,3.11,3.31,11,Low,7
STU-9177,21,Software Engineering,Claude 3.5,5,Literature Review,2.74,2.94,9,Low,4
STU-9334,22,Software Engineering,Perplexity,4,Exam Prep,2.6,2.5,5,Medium,2
STU-1317,21,Software Engineering,Perplexity,1,Exam Prep,2.79,2.89,4,High,9
STU-5767,21,Data Science,ChatGPT-4o,4,Code Debugging,2.93,3.13,4,High,8
STU-3788,24,Modern History,Gemini Pro,6,Exam Prep,3.17,3.27,10,High,4
STU-0820,20,Business Administration,Claude 3.5,6,Literature Review,3.89,3.99,3,High,5
STU-9797,18,Software Engineering,GitHub Copilot,6,Brainstorming,2.77,2.77,5,Low,10
STU-7463,25,Business Administration,Gemini Pro,7,Essay Drafting,3.32,3.62,7,Medium,1
STU-4334,18,Software Engineering,GitHub Copilot,9,Literature Review,3.44,3.34,8,Medium,5
STU-1186,25,Modern History,Claude 3.5,9,Exam Prep,3.09,3.19,13,High,5
STU-6960,25,Modern History,ChatGPT-4o,9,Brainstorming,3.08,3.38,2,Medium,1
STU-2503,20,Modern History,GitHub Copilot,1,Code Debugging,3.32,3.22,6,High,4
STU-8599,25,Data Science,Claude 3.5,6,Literature Review,3.35,3.65,2,Low,10
STU-8455,23,Business Administration,GitHub Copilot,3,Exam Prep,3.57,3.47,9,Low,5
STU-4866,21,Fine Arts,Perplexity,7,Code Debugging,3.48,3.78,13,Medium,2
STU-3245,18,Business Administration,GitHub Copilot,9,Literature Review,3.13,3.13,11,Medium,3
STU-4893,24,Fine Arts,GitHub Copilot,4,Exam Prep,2.58,2.48,3,High,4
STU-5564,19,Software Engineering,Perplexity,5,Exam Prep,2.68,2.98,6,Medium,5
STU-0807,18,Biology,ChatGPT-4o,10,Code Debugging,3.39,3.69,5,High,5
STU-1323,25,Biology,GitHub Copilot,7,Essay Drafting,3.8,4,6,High,1
STU-7273,21,Biology,Gemini Pro,5,Brainstorming,3.62,3.52,4,Low,9
STU-5892,25,Biology,Claude 3.5,7,Literature Review,2.96,2.86,9,Low,4
STU-3719,18,Business Administration,ChatGPT-4o,5,Code Debugging,3.95,3.95,14,High,7
STU-2652,25,Fine Arts,Gemini Pro,1,Exam Prep,2.54,2.44,4,Medium,10
STU-1883,18,Biology,ChatGPT-4o,1,Exam Prep,3.71,3.71,5,Low,1
STU-2382,23,Biology,Gemini Pro,5,Essay Drafting,3.46,3.46,9,Low,7
STU-0821,23,Data Science,Perplexity,8,Literature Review,3.47,3.57,15,Low,4
STU-0829,22,Data Science,Gemini Pro,3,Exam Prep,2.75,2.75,4,Medium,1
STU-8321,19,Business Administration,GitHub Copilot,1,Code Debugging,2.6,2.9,10,Low,4
STU-3284,23,Data Science,GitHub Copilot,4,Exam Prep,3.24,3.44,15,Medium,7
STU-5382,21,Data Science,Gemini Pro,2,Code Debugging,3.64,3.64,14,Low,7
STU-4496,18,Data Science,Claude 3.5,2,Literature Review,2.54,2.54,10,High,4
STU-6181,20,Biology,Perplexity,5,Exam Prep,3.9,4,14,Medium,7
STU-7114,24,Business Administration,Perplexity,5,Exam Prep,2.66,2.86,14,Medium,3
STU-1425,22,Data Science,Gemini Pro,8,Exam Prep,3.9,3.9,7,Low,6
STU-8701,23,Data Science,Perplexity,8,Essay Drafting,4,4,8,Medium,2
STU-2383,25,Fine Arts,Gemini Pro,7,Code Debugging,3.45,3.75,7,High,9
STU-0273,23,Business Administration,Perplexity,8,Code Debugging,3,3.1,2,Low,10
STU-5877,20,Business Administration,Claude 3.5,9,Essay Drafting,3.13,3.03,15,Low,6
STU-6397,22,Modern History,Claude 3.5,8,Code Debugging,3.94,4,8,Low,3
STU-7049,25,Fine Arts,GitHub Copilot,4,Brainstorming,3.36,3.66,12,High,6
STU-6357,22,Software Engineering,Claude 3.5,10,Code Debugging,3.87,4,13,High,7
STU-5976,25,Business Administration,Gemini Pro,7,Code Debugging,3.99,4,4,Medium,1
STU-3263,20,Business Administration,Claude 3.5,5,Exam Prep,2.8,2.9,2,Low,6
STU-0029,22,Software Engineering,ChatGPT-4o,2,Literature Review,3.11,3.11,13,High,3
STU-2502,23,Business Administration,GitHub Copilot,8,Code Debugging,3.01,3.11,8,Medium,7
STU-5782,20,Software Engineering,Gemini Pro,6,Literature Review,2.73,3.03,4,Medium,4
STU-0634,20,Data Science,Claude 3.5,10,Brainstorming,3.91,4,12,High,5
STU-9257,19,Modern History,Gemini Pro,10,Essay Drafting,2.63,2.73,9,Medium,10
STU-0621,22,Business Administration,Perplexity,5,Brainstorming,3.23,3.13,5,Low,9
STU-0074,25,Software Engineering,ChatGPT-4o,4,Essay Drafting,2.86,3.06,11,Medium,4
STU-7974,24,Biology,Perplexity,2,Literature Review,3.8,4,4,Medium,5
STU-8591,25,Modern History,Gemini Pro,9,Exam Prep,3.38,3.28,9,Medium,3
STU-8290,24,Biology,GitHub Copilot,4,Brainstorming,3.96,3.86,12,High,1
STU-4188,24,Business Administration,GitHub Copilot,2,Literature Review,3.82,3.82,13,High,5
STU-8832,25,Software Engineering,GitHub Copilot,6,Essay Drafting,2.97,3.07,13,High,4
STU-5013,19,Software Engineering,ChatGPT-4o,2,Essay Drafting,2.87,3.17,2,Low,7
STU-0935,25,Biology,Perplexity,2,Code Debugging,3.11,3.41,15,Medium,10
STU-1369,19,Fine Arts,ChatGPT-4o,1,Brainstorming,3.3,3.2,2,Medium,3
STU-8438,23,Modern History,Perplexity,8,Code Debugging,3.46,3.46,14,Low,3
STU-1187,22,Software Engineering,Claude 3.5,2,Brainstorming,3.74,3.94,8,Medium,3
STU-0050,20,Biology,Gemini Pro,7,Exam Prep,3.21,3.31,8,Low,3
STU-2250,21,Modern History,Gemini Pro,8,Exam Prep,3.68,3.58,9,Low,3
STU-7169,19,Modern History,ChatGPT-4o,5,Essay Drafting,3.82,3.72,7,High,2
STU-4142,20,Biology,Perplexity,3,Essay Drafting,3.16,3.06,9,Low,9
STU-7065,23,Business Administration,Claude 3.5,6,Literature Review,3.51,3.81,8,Low,4
STU-8134,24,Data Science,Claude 3.5,1,Exam Prep,3.68,3.78,7,Medium,4
STU-1605,25,Modern History,Gemini Pro,6,Literature Review,3.13,3.13,5,Low,5
STU-7287,23,Software Engineering,Perplexity,8,Literature Review,2.85,3.15,15,Medium,2
STU-2341,25,Software Engineering,Perplexity,2,Literature Review,3.76,3.76,15,Low,10
STU-9455,20,Software Engineering,Claude 3.5,6,Essay Drafting,3.63,3.73,12,Low,1
STU-3977,22,Business Administration,ChatGPT-4o,3,Brainstorming,2.75,2.85,15,Medium,2
STU-2757,20,Fine Arts,Perplexity,5,Exam Prep,3.31,3.21,14,High,6
STU-4565,18,Data Science,ChatGPT-4o,8,Literature Review,2.66,2.76,14,High,8
STU-7948,22,Software Engineering,Gemini Pro,8,Exam Prep,3.07,2.97,11,Low,10
STU-0221,21,Biology,GitHub Copilot,3,Literature Review,2.64,2.94,12,Medium,2
STU-8510,24,Software Engineering,GitHub Copilot,10,Literature Review,3.21,3.11,15,Low,1
STU-6157,20,Biology,Perplexity,1,Literature Review,2.9,2.8,3,Low,6
STU-4183,24,Modern History,Claude 3.5,9,Exam Prep,3.12,3.12,2,Low,10
STU-1666,20,Data Science,Gemini Pro,3,Brainstorming,2.93,3.23,7,High,4
STU-9025,18,Data Science,Gemini Pro,8,Literature Review,3.49,3.69,14,Low,9
STU-7672,18,Biology,Perplexity,1,Code Debugging,3.11,3.31,13,Medium,6
STU-5088,23,Software Engineering,Perplexity,6,Essay Drafting,3.73,3.73,7,Low,4
STU-7165,21,Software Engineering,GitHub Copilot,3,Literature Review,2.68,2.88,14,Medium,1
STU-8216,19,Software Engineering,GitHub Copilot,7,Brainstorming,3.37,3.67,4,Medium,10
STU-9110,25,Fine Arts,GitHub Copilot,2,Exam Prep,2.89,2.79,11,Low,10
STU-6460,20,Data Science,ChatGPT-4o,10,Code Debugging,2.6,2.8,6,High,5
STU-9654,22,Biology,GitHub Copilot,5,Code Debugging,2.99,3.19,13,Medium,2
STU-2761,24,Biology,GitHub Copilot,8,Brainstorming,2.59,2.89,3,High,5
STU-2627,18,Biology,Gemini Pro,6,Exam Prep,3.44,3.74,9,High,5
STU-4346,20,Modern History,Perplexity,10,Essay Drafting,3.72,3.92,2,High,1
STU-3135,24,Biology,ChatGPT-4o,3,Literature Review,3.56,3.86,8,Medium,3
STU-0108,24,Modern History,ChatGPT-4o,2,Essay Drafting,2.85,3.05,4,High,9
STU-3325,22,Modern History,Claude 3.5,2,Brainstorming,2.93,3.23,14,Low,1
STU-0464,24,Modern History,Perplexity,6,Literature Review,3.71,3.71,4,High,4
STU-3524,23,Biology,Gemini Pro,8,Brainstorming,3.9,4,4,Low,9
STU-2372,22,Software Engineering,Perplexity,4,Essay Drafting,3.21,3.21,8,Low,4
STU-9665,25,Data Science,Perplexity,4,Literature Review,3.82,4,11,Low,6
STU-0763,20,Business Administration,GitHub Copilot,10,Exam Prep,2.61,2.61,4,Low,3
STU-9430,20,Fine Arts,Perplexity,6,Essay Drafting,2.56,2.66,5,Medium,7
STU-3114,19,Modern History,GitHub Copilot,4,Brainstorming,2.83,2.93,2,Low,8
STU-8061,24,Modern History,Perplexity,5,Code Debugging,3.43,3.53,12,Medium,1
STU-6142,22,Business Administration,Claude 3.5,9,Brainstorming,3.07,3.27,3,Low,3
STU-7147,22,Software Engineering,Gemini Pro,5,Exam Prep,3.98,4,3,Medium,1
STU-1792,25,Business Administration,ChatGPT-4o,9,Brainstorming,3.3,3.5,2,High,8
STU-1779,24,Modern History,GitHub Copilot,7,Brainstorming,3.66,3.76,8,Medium,10
STU-4536,24,Fine Arts,GitHub Copilot,5,Code Debugging,2.65,2.85,11,Medium,3
STU-1558,20,Modern History,Gemini Pro,10,Brainstorming,3.93,3.93,3,Low,7
STU-2681,20,Business Administration,ChatGPT-4o,10,Literature Review,2.75,2.95,12,High,9
STU-1968,18,Modern History,Perplexity,2,Essay Drafting,3.44,3.44,7,High,3
STU-6529,22,Biology,Perplexity,6,Exam Prep,3.17,3.27,4,High,8
STU-8933,22,Business Administration,ChatGPT-4o,8,Literature Review,3.04,3.34,7,Low,9
STU-3156,24,Biology,ChatGPT-4o,10,Exam Prep,3.94,4,14,High,4
STU-2944,19,Data Science,Gemini Pro,4,Exam Prep,3.28,3.48,2,Medium,4
STU-2738,24,Fine Arts,Perplexity,9,Exam Prep,3.93,4,4,Medium,7
STU-6227,22,Modern History,Gemini Pro,9,Literature Review,2.87,2.97,10,High,3
STU-5169,24,Data Science,Perplexity,2,Exam Prep,2.73,2.73,13,High,2
STU-0146,25,Fine Arts,Claude 3.5,9,Literature Review,3.92,4,14,Medium,2
STU-5289,19,Fine Arts,Perplexity,5,Exam Prep,3.79,3.69,5,Medium,4
STU-2715,25,Biology,Gemini Pro,4,Exam Prep,3.17,3.47,14,Low,10
STU-7420,18,Data Science,Gemini Pro,2,Exam Prep,3.08,3.28,2,Low,8
STU-2981,23,Biology,Claude 3.5,6,Literature Review,2.99,2.99,9,High,1
STU-7240,22,Modern History,Perplexity,3,Essay Drafting,3.04,2.94,15,Medium,2
STU-9283,18,Modern History,Claude 3.5,9,Exam Prep,3.93,4,12,High,9
STU-8144,19,Modern History,Gemini Pro,8,Literature Review,3.77,4,8,High,7
STU-6549,21,Data Science,Claude 3.5,9,Literature Review,3.02,3.12,2,Low,6
STU-6309,23,Data Science,Gemini Pro,5,Brainstorming,2.66,2.56,9,Medium,6
STU-7224,20,Biology,ChatGPT-4o,4,Exam Prep,3.29,3.49,9,High,8
STU-8473,19,Modern History,ChatGPT-4o,4,Literature Review,3.85,3.85,8,Low,2
STU-9914,24,Software Engineering,Perplexity,4,Code Debugging,3.83,4,12,Low,5
STU-7630,22,Data Science,ChatGPT-4o,9,Essay Drafting,2.97,2.97,14,Low,3
STU-0627,22,Business Administration,GitHub Copilot,1,Brainstorming,3.47,3.37,6,High,5
STU-8122,20,Business Administration,Perplexity,3,Brainstorming,2.87,2.97,14,Medium,5
STU-9842,20,Software Engineering,Perplexity,9,Literature Review,2.91,3.21,8,Medium,7
STU-6083,25,Fine Arts,Gemini Pro,8,Code Debugging,2.94,3.04,6,High,2
STU-4612,20,Software Engineering,Perplexity,1,Exam Prep,3.27,3.37,3,Low,2
